day,sleep.qualityDuration,sleep.score,strain.averageHeartRate,strain.score,recovery.heartRateVariabilityRmssd,recovery.restingHeartRate,recovery.score,nap_duration,Nap,Journal,Coffee,Moda,Alcohol,Exercise,Breathing exercises,Meditation,Morning walk,Morning sun,Weighted blanket,MD,Energy Rating (1-5),Emotional Rating,Satisfaction/Fullfilment,Summary,Nap (prev day),Journal (prev day),Coffee (prev day),Moda (prev day),Alcohol (prev day),Exercise (prev day),Breathing exercises (prev day),Meditation (prev day),Morning walk (prev day),Morning sun (prev day),Weighted blanket (prev day),MD (prev day),Energy Rating (1-5) (prev day),Emotional Rating (prev day),Satisfaction/Fullfilment (prev day),Summary (prev day)
2020-08-10,362.4928,77.0,66,11.6494831018823,0.046671199999999996,47.0,40.0,0.0,0,0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,0,1,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,25.0,0.0,0.0,0.0,49.27272727272727,0.0,1.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-08-11,486.54933333333327,91.0,68,14.633137241828498,0.08303719999999999,48.0,76.0,0.0,0,0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,0.0,1.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-08-12,459.19685,88.0,57,6.02597743531495,0.0680201,44.0,59.0,0.0,0,0,5.428571428571429,52.73684210526316,1.3703703703703705,0.0,0.0,49.27272727272727,0,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-08-13,424.64138333333335,85.0,69,13.7487680373927,0.0744558,44.0,63.0,0.0,0,0,5.428571428571429,52.73684210526316,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,52.73684210526316,1.3703703703703705,0.0,0.0,49.27272727272727,0.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-08-14,457.1753833333333,87.0,62,7.02027036203456,0.0782057,44.0,70.0,0.0,0,0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,52.73684210526316,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-08-15,445.9935833333333,88.0,63,9.05250751708666,0.07935060000000001,40.0,72.0,0.0,0,0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-08-16,485.93966666666665,96.0,57,7.110175772904349,0.025195500000000003,40.0,21.0,0.0,0,0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,0,1,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-08-17,428.04225,89.0,56,7.3850146448893295,0.182187,39.0,97.0,0.0,0,1,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,0.0,1.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-08-18,453.4691333333333,91.0,56,7.24244234136292,0.114352,40.0,91.0,0.0,0,0,5.428571428571429,52.73684210526316,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,1.0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-08-19,418.43356666666665,85.0,61,7.327419425350589,0.0630059,53.0,48.0,0.0,0,0,5.428571428571429,52.73684210526316,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,52.73684210526316,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
